Timestamp,"Air temperature (gund, ℃)","Relative humidity (gund, %)","Wind direction (gund, °)","Wind speed (gund, m/s)","Pressure (gund, mbar)","Solar radiation (gund, W/m^2)"
6/27/22 8:45,24.63,71.4,232,3.5,1008.3,162
6/27/22 8:50,24.7,71,243,2.5,1008.4,111
6/27/22 8:55,24.44,71.9,227,3.5,1008.4,141
6/27/22 9:00,24.39,72.1,227,3,1008.5,118
6/27/22 9:05,24.48,72.1,223,2.5,1008.4,112
6/27/22 9:10,24.48,71.9,226,3,1008.3,109
6/27/22 9:15,24.77,71.4,222,3,1008.5,173
6/27/22 9:20,24.58,71.5,232,4,1008.4,123
6/27/22 9:25,24.56,72,240,2.5,1008.4,94
6/27/22 9:30,24.46,72.2,232,2.5,1008.3,112
6/27/22 9:35,24.65,71.8,236,2.5,1008.2,144
6/27/22 9:40,24.44,71.9,237,3,1008.3,123
6/27/22 9:45,24.41,72.4,251,3.5,1008.4,156
6/27/22 9:50,24.68,72,243,3,1008.5,151
6/27/22 9:55,24.56,72.1,233,2.5,1008.3,153
6/27/22 10:00,24.6,72.2,240,3,1008.4,178
6/27/22 10:05,24.68,72.3,256,3.5,1008.5,199
6/27/22 10:10,24.46,73.7,236,4,1008.5,149
6/27/22 10:15,24.46,73.9,247,3.5,1008.3,153
6/27/22 10:20,24.68,73.6,251,2.5,1008.5,154
6/27/22 10:25,25.4,71.8,243,1.5,1008.4,289
6/27/22 10:30,25.02,72.3,239,3,1008.1,207
6/27/22 10:35,25.55,70.7,208,1.5,1008.2,292
6/27/22 10:40,25.4,71.5,250,2.5,1008.4,273
6/27/22 10:45,25.16,72.5,240,4,1008.3,203
6/27/22 10:50,24.6,74.6,241,4.5,1008.4,117
6/27/22 10:55,24.97,74,241,3,1008.4,184
6/27/22 11:00,25.43,72.9,264,2.5,1008.3,214
6/27/22 11:05,26.72,69.9,247,2.5,1008.5,416
6/27/22 11:10,26.11,70.7,244,1.5,1008.3,173
6/27/22 11:15,23.4,79.8,253,3,1008.6,132
6/27/22 11:20,23.64,80.1,253,1.5,1008.6,114
6/27/22 11:25,21.72,89.9,248,2,1008.8,96
6/27/22 11:30,21.63,92.6,261,2,1008.9,104
6/27/22 11:35,21.89,94.1,260,1.5,1008.8,141
6/27/22 11:40,22.11,94.7,247,1,1008.7,181
6/27/22 11:45,21.77,95.3,244,2.5,1008.8,136
