Timestamp,Water_Return_Temp,Water_Supply_Temp,CO2 (ppm),RH (%),Room_temp,slab_temp,valve_opening (%),window_opening (%)
2022-06-27 00:48:00-04:00,20.05483415,18.04349687,462.7200012,50.75999832,23.87999916,19.89999559,100,0
2022-06-27 00:49:00-04:00,20.05515628,18.04007636,462.0799866,50.75999832,23.87999916,19.89999559,100,0
2022-06-27 00:50:00-04:00,20.06566366,18.04601034,462.0799866,50.75999832,23.87999916,19.89999559,100,0
2022-06-27 00:51:00-04:00,20.05023532,18.04225074,462.0799866,50.75999832,23.87999916,19.89999559,100,0
2022-06-27 00:52:00-04:00,20.05536821,18.04473453,462.0799866,50.75999832,23.87999916,19.89999559,100,0
2022-06-27 00:53:00-04:00,20.05921258,18.04708693,460.480011,50.75999832,23.87999916,19.89999559,100,0
2022-06-27 00:54:00-04:00,20.05599976,18.05071937,463.0400085,50.75999832,23.87999916,19.89999559,100,0
2022-06-27 00:55:00-04:00,20.05024804,18.05192312,465.9200134,50.75999832,23.87999916,19.89999559,100,0
2022-06-27 00:56:00-04:00,20.05643633,18.04980384,470.3999939,50.72000122,23.87999916,19.89999559,100,0
2022-06-27 00:57:00-04:00,20.06220076,18.06558397,474.5599976,50.72000122,23.87999916,19.89999559,100,0
2022-06-27 00:58:00-04:00,20.04979451,18.05002001,475.519989,50.72000122,23.87999916,19.89999559,100,0
2022-06-27 00:59:00-04:00,20.04953172,18.0539661,475.2000122,50.72000122,23.87999916,19.79999542,100,0
2022-06-27 01:00:00-04:00,20.04803552,18.05499183,472.6400146,50.72000122,23.86000061,19.79999542,100,0
2022-06-27 01:01:00-04:00,20.05312602,18.05650923,467.8399963,50.68000031,23.86000061,19.89999559,100,0
2022-06-27 01:02:00-04:00,20.04938338,18.0544832,468.480011,50.68000031,23.86000061,19.89999559,100,0
2022-06-27 01:03:00-04:00,20.05186293,18.06428697,471.0400085,50.68000031,23.86000061,19.89999559,100,0
2022-06-27 01:04:00-04:00,20.05161285,18.06948344,470.3999939,50.68000031,23.86000061,19.89999559,100,0
2022-06-27 01:05:00-04:00,20.04267799,18.05313534,469.1199951,50.68000031,23.86000061,19.89999559,100,0
2022-06-27 01:06:00-04:00,20.03565047,18.05393219,468.1600037,50.63999939,23.84000015,19.89999559,100,0
2022-06-27 01:07:00-04:00,20.04199982,18.06635539,468.1600037,50.63999939,23.84000015,19.89999559,100,0
2022-06-27 01:08:00-04:00,20.04648421,18.0618159,466.5599976,50.63999939,23.84000015,19.89999559,100,0
2022-06-27 01:09:00-04:00,20.04041036,18.0638504,464.9599915,50.63999939,23.84000015,19.89999559,100,0
2022-06-27 01:10:00-04:00,20.02052307,18.04466248,462.3999939,50.63999939,23.84000015,19.89999559,100,0
2022-06-27 01:11:00-04:00,20.03619724,18.05448744,465.2799988,50.68000031,23.84000015,19.79999542,100,0
2022-06-27 01:12:00-04:00,20.03312853,18.06145138,469.7600098,50.68000031,23.84000015,19.79999542,100,0
2022-06-27 01:13:00-04:00,20.02753364,18.05525462,467.519989,50.68000031,23.84000015,19.79999542,100,0
2022-06-27 01:14:00-04:00,20.03328111,18.06326972,463.3599854,50.68000031,23.84000015,19.79999542,100,0
2022-06-27 01:15:00-04:00,20.04200406,18.07523092,462.0799866,50.68000031,23.84000015,19.79999542,100,0
2022-06-27 01:16:00-04:00,20.03918118,18.06876289,460.7999878,50.75999832,23.84000015,19.79999542,100,0
2022-06-27 01:17:00-04:00,20.03370921,18.06715647,457.9200134,50.75999832,23.84000015,19.79999542,100,0
2022-06-27 01:18:00-04:00,20.03005981,18.06334178,456.6400146,50.75999832,23.84000015,19.79999542,100,0
2022-06-27 01:19:00-04:00,20.02787696,18.07505714,455.3599854,50.75999832,23.84000015,19.79999542,100,0
2022-06-27 01:20:00-04:00,20.02860599,18.06399451,457.6000061,50.75999832,23.79999924,19.79999542,100,0
2022-06-27 01:21:00-04:00,20.01189338,18.05767483,460.480011,50.68000031,23.79999924,19.79999542,100,0
2022-06-27 01:22:00-04:00,20.02250248,18.06304932,464.9599915,50.68000031,23.79999924,19.79999542,100,0
2022-06-27 01:23:00-04:00,20.02162933,18.06231605,467.8399963,50.68000031,23.79999924,19.79999542,100,0
2022-06-27 01:24:00-04:00,20.03234016,18.07055155,473.9200134,50.68000031,23.79999924,19.79999542,100,0
2022-06-27 01:25:00-04:00,20.02073076,18.06562212,474.4000092,50.65999985,23.79999924,19.79999542,100,0
2022-06-27 01:26:00-04:00,20.02708435,18.07000478,474.4000092,50.65999985,23.79999924,19.79999542,100,0
2022-06-27 01:27:00-04:00,20.01893785,18.05809021,470.7200012,50.63999939,23.79999924,19.79999542,100,0
2022-06-27 01:28:00-04:00,20.01790788,18.06372748,466.8800049,50.63999939,23.79999924,19.79999542,100,0
2022-06-27 01:29:00-04:00,20.0100708,18.06146834,465.6000061,50.63999939,23.79999924,19.79999542,100,0
2022-06-27 01:30:00-04:00,20.01694997,18.06380802,468.7999878,50.72000122,23.79999924,19.79999542,100,0
2022-06-27 01:31:00-04:00,20.0050905,18.05749681,472,50.72000122,23.79999924,19.79999542,100,0
2022-06-27 01:32:00-04:00,20.01401265,18.0645752,472,50.72000122,23.79999924,19.79999542,100,0
2022-06-27 01:33:00-04:00,20.01149072,18.06558397,468.7999878,50.72000122,23.79999924,19.79999542,100,0
2022-06-27 01:34:00-04:00,20.01462724,18.07539622,464.3200073,50.72000122,23.79999924,19.79999542,100,0
2022-06-27 01:35:00-04:00,20.01204597,18.06958516,464.6400146,50.75999832,23.78000069,19.79999542,100,0
2022-06-27 01:36:00-04:00,20.00384437,18.06318071,470.3999939,50.75999832,23.78000069,19.79999542,100,0
2022-06-27 01:37:00-04:00,20.00596788,18.0727556,471.0400085,50.75999832,23.78000069,19.79999542,100,0
2022-06-27 01:38:00-04:00,20.00823975,18.06599087,469.1199951,50.75999832,23.78000069,19.79999542,100,0
2022-06-27 01:39:00-04:00,20.02188789,18.07737562,465.9200134,50.75999832,23.78000069,19.79999542,100,0
2022-06-27 01:40:00-04:00,20.00470055,18.07144165,463.6799927,50.75999832,23.78000069,19.79999542,100,0
2022-06-27 01:41:00-04:00,20.00487857,18.06212107,464.3200073,50.75999832,23.78000069,19.79999542,100,0
2022-06-27 01:42:00-04:00,20.01396603,18.07083554,465.9200134,50.75999832,23.78000069,19.79999542,100,0
2022-06-27 01:43:00-04:00,20.00528971,18.07154338,467.2000122,50.75999832,23.78000069,19.79999542,100,0
2022-06-27 01:44:00-04:00,20.00356038,18.07184855,469.7600098,50.75999832,23.78000069,19.79999542,100,0
2022-06-27 01:45:00-04:00,19.99476963,18.06495667,469.4400024,50.59999847,23.78000069,19.79999542,100,0
2022-06-27 01:46:00-04:00,20.00274658,18.07845645,469.1199951,50.59999847,23.78000069,19.79999542,100,0
2022-06-27 01:47:00-04:00,20.00374688,18.07197147,466.5599976,50.59999847,23.78000069,19.79999542,100,0
2022-06-27 01:48:00-04:00,20.00388675,18.07579464,465.6000061,50.59999847,23.78000069,19.79999542,100,0
2022-06-27 01:49:00-04:00,20.01137204,18.08110979,465.6000061,50.59999847,23.78000069,19.79999542,100,0
2022-06-27 01:50:00-04:00,20.00346714,18.07453156,467.2000122,50.63999939,23.78000069,19.79999542,100,0
2022-06-27 01:51:00-04:00,19.98275333,18.06518979,469.7600098,50.63999939,23.78000069,19.79999542,100,0
2022-06-27 01:52:00-04:00,19.99663035,18.06765238,470.7200012,50.63999939,23.78000069,19.79999542,100,0
2022-06-27 01:53:00-04:00,19.99750773,18.07709588,470.3999939,50.63999939,23.78000069,19.79999542,100,0
